variant_id,family,side,trade_count,fill_count,profit_factor,hit_rate,mean_trade_return_bps,median_trade_return_bps,walk_forward_pass_rate,gate_passed
short_momentum_3m_thr0p0075_hold10_v1,short_momentum_3m,short,129,258,0.4831547018461177,0.35658914728682173,-15.781474096231333,-18.534612647767,0.0,False
short_momentum_3m_thr0p0075_hold15_v1,short_momentum_3m,short,125,250,0.6070732323606358,0.392,-13.170750629556382,-17.429810447092358,0.0,False
long_breakout_5m_thr0p0015_hold2_v1,long_breakout_5m,long,6865,13730,0.1618740593396048,0.15542607428987618,-11.002900452072467,-10.60543832770381,0.0,False
long_breakout_5m_thr0p0015_hold3_v1,long_breakout_5m,long,6080,12160,0.20152359904000064,0.19013157894736843,-10.956958708241253,-10.605438327704496,0.0,False
long_breakout_5m_thr0p0015_hold5_v1,long_breakout_5m,long,5179,10358,0.22564129063305077,0.21258930295423828,-11.49553348831341,-10.679573930330513,0.0,False
long_breakout_5m_thr0p0015_hold10_v1,long_breakout_5m,long,4368,8736,0.2924091860469999,0.25274725274725274,-11.640157466362165,-11.25193484790373,0.0,False
long_breakout_5m_thr0p0015_hold15_v1,long_breakout_5m,long,3814,7628,0.32752306577198703,0.2823807026743576,-11.86159698808603,-11.676646236649606,0.0,False
long_breakout_5m_thr0p002_hold2_v1,long_breakout_5m,long,5290,10580,0.17268366516642933,0.16540642722117202,-11.237063687450219,-10.60543832770396,0.0,False
long_breakout_5m_thr0p002_hold3_v1,long_breakout_5m,long,4721,9442,0.20967299494371405,0.19847489938572335,-11.26153070067106,-10.605438327705231,0.0,False
long_breakout_5m_thr0p002_hold5_v1,long_breakout_5m,long,4102,8204,0.23059048641391633,0.2167235494880546,-11.859051212640068,-10.707425486519684,0.0,False
long_breakout_5m_thr0p002_hold10_v1,long_breakout_5m,long,3513,7026,0.2955276025937049,0.25676060347281526,-12.105153843296751,-11.28404052730072,0.0,False
long_breakout_5m_thr0p002_hold15_v1,long_breakout_5m,long,3120,6240,0.3263631011448189,0.27884615384615385,-12.464983945111406,-11.716675619669982,0.0,False
long_breakout_5m_thr0p003_hold2_v1,long_breakout_5m,long,2948,5896,0.21322575609445144,0.1957259158751696,-11.07901140078518,-10.605438327703974,0.0,False
long_breakout_5m_thr0p003_hold3_v1,long_breakout_5m,long,2653,5306,0.25048674209984234,0.22314361100640784,-11.49903222781948,-10.606315938077973,0.0,False
long_breakout_5m_thr0p003_hold5_v1,long_breakout_5m,long,2346,4692,0.2831451219711922,0.2463768115942029,-11.609060814313803,-10.703223568138183,0.0,False
long_breakout_5m_thr0p003_hold10_v1,long_breakout_5m,long,2053,4106,0.36079119280210153,0.2854359473940575,-11.451983095945968,-11.055224430372983,0.0,False
long_breakout_5m_thr0p003_hold15_v1,long_breakout_5m,long,1854,3708,0.4160039961202278,0.3063646170442287,-11.086002554080899,-11.109954059038397,0.0,False
long_breakout_5m_thr0p004_hold2_v1,long_breakout_5m,long,1453,2906,0.2817862736592379,0.24088093599449414,-10.504562526555825,-10.605438327703494,0.0,False
