sample_index,sample_captured_at,timestamp,ts,symbol,side,level,price,size,liquidation_orders,order_count,source_record_id
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,19,63907.1,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:19
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,20,63907,1,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:20
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,21,63906.8,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:21
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,22,63906.7,1,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:22
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,23,63906.6,0.03,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:23
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,24,63906.5,28.03,0,6,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:24
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,25,63906.4,67.55,0,3,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:25
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,26,63906.3,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:26
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,27,63906.2,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:27
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,28,63906.1,1.21,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:28
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,29,63906,0.04,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:29
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,30,63905.9,1.58,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:30
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,31,63905.8,1.33,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:31
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,32,63905.6,12,0,2,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:32
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,33,63905.5,1.2,0,1,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:33
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,34,63905.4,2.36,0,3,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:34
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,35,63905.3,0.52,0,3,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:35
2,2026-06-20T16:33:05Z,2026-06-20T16:33:06.057000Z,1781973186057,BTCUSDT,bid,36,63905.1,66.94,0,3,okx-book-sample:BTC-USDT-SWAP:2:1781973186057:bid:36
